Almost Certain,Highly Likely,Very Good Chance,Probable,Likely,We Believe,Probably,Better than Even,About Even,We Doubt,Improbable,Unlikely,Probably Not,Little Chance,Almost No Chance,Highly Unlikely,Chances are Slight
95,95,85,70,75,80,60,70,50,15,0,20,30,20,5,10,20
99.9,90,99,70,80,100,80,70,50,5,0,10,50,10,0,10,1
95,90,60,80,70,70,60,50,50,20,15,10,30,10,5,70,10
90,80,80,55,70,55,50,60,50,10,5,10,15,20,2,5,10
60,90,80,65,70,51,65,60,50,15,35,30,35,10,2,5,15
100,90,75,70,75,60,65,60,50,40,100,50,70,40,100,100,50
98,13,88,70,68,87,75,65,52,39,2,30,26,19,5,10,25
95,75,90,60,75,80,100,65,50,0,0,25,30,10,10,25,50
95,95,80,90,60,50,90,55,50,30,1,30,45,5,10,5,3
90,80,80,70,70,70,50,60,50,70,2,0,10,3,3,5,3
90,85,75,70,70,70,75,70,50,15,30,30,30,10,10,20,40
68,83,75,87.5,70,85,80,55,50,56,3,5,7,15,18,10,15
60,70,70,40,40,40,30,60,50,20,20,20,30,10,0,10,30
90,95,95,70,85,80,70,60,50,40,0,10,20,5,5,5,5
90,70,35,50,60,70,34,25,45,15,25,25,25,25,5,5,15
100,90,90,70,60,100,75,55,50,10,30,20,20,5,0,10,10
95,90,100,90,90,90,90,60,50,10,10,5,0,5,10,0,10
90,20,70,70,70,80,70,60,50,30,20,30,30,40,20,20,50
90,20,85,50,80,85,70,55,50,35,5,30,25,10,5,0,15
100,80,75,50,80,80,80,60,50,0,0,0,20,5,1,0,15
98,95,90,60,75,100,70,60,50,50,10,10,10,10,5,2,20
80,85,75,30,70,65,40,55,50,30,0,20,40,15,10,15,20
80,80,60,60,80,50,80,70,50,50,20,40,40,20,10,20,60
95,90,80,75,75,80,60,70,50,15,20,15,30,25,5,5,10
95,80,70,65,75,60,70,60,50,30,10,20,10,15,5,10,10
100,70,80,10,40,70,40,50,30,30,10,0,30,0,0,0,20
80,90,60,50,70,80,70,40,40,20,20,20,10,20,10,10,30
80,90,90,50,60,80,50,40,45,60,25,30,40,35,5,10,15
85,90,80,60,75,70,60,55,50,25,70,10,35,5,10,10,30
90,90,85,75,70,95,75,60,50,10,5,10,10,15,5,10,20
95,80,75,60,75,75,70,5,50,0,0,40,30,15,5,10,25
90,90,80,75,75,80,85,58,50,10,10,15,15,10,1,5,20
60,85,77,65,45,45,66,55,30,12,34,2,15,25,10,3,67
95,90,70,85,80,75,80,60,50,20,10,10,20,30,10,15,15
100,90,100,80,80,80,90,70,70,50,50,0,50,80,0,50,50
70,70,90,80,70,60,60,60,50,0,0,10,0,30,10,10,10
85,80,75,40,60,60,70,60,50,20,0,30,25,15,10,10,55
95,90,79,60,50,70,66,75,50,15,10,11,7,5,1,4,20
95,90,85,75,70,90,75,51,50,5,5,15,10,15,2,5,10
90,75,75,66.6,50,70,60,51,50,10,25,5,20,7,2,5,15
99,90,95,70,80,60,75,55,50,10,40,25,30,30,10,5,15
90,90,80,50,60,50,80,75,75,10,0,25,25,20,10,10,10
98,90,95,50,60,99,50,75,48,1,0,1,25,10,1,1,5
85,85,90,60,75,65,60,60,25,80,25,30,25,10,5,10,15
80,70,70,60,80,70,40,55,50,3,10,20,30,20,5,30,30
95,95,95,75,80,90,50,90,50,20,30,10,10,5,5,5,10
95,18,90,65,75,75,65,70,50,20,5,10,13,12,5,10,10
95,90,80,80,60,60,70,60,50,5,20,10,10,5,0,10,30
99,80,75,75,70,90,30,55,50,35,25,20,30,10,10,10,20
88,80,70,75,65,85,70,60,50,1,5,5,30,20,0,2,30
90,90,85,80,70,85,75,65,50,25,5,5,15,5,3,5,45
95,100,80,60,65,65,50,60,55,35,20,10,20,15,10,5,30
60,80,70,65,60,50,75,55,50,30,35,25,20,5,2,10,25
